Date,Year,Week,Description,Amount,Level 1,Level 2,Level 3,Transaction Type,Payment Mode
01/01/24,2024,1,Airtel Wifi (01/12/23-29/02/24),3079.88,Regular,Subscription,Internet WiFi,Credit Card,HDFC Swiggy
01/01/24,2024,1,Airtel Wifi (01/12/23-29/02/24) Reimbursement,-3000,Regular,Subscription,Internet WiFi,UPI,Google Pay
01/01/24,2024,1,Netflix - Jan’24,649,Regular,Subscription,OTT,Credit Card,HDFC Swiggy
01/01/24,2024,1,Swiggy Lunch,302,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
01/01/24,2024,1,Swiggy Dinner,245,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
01/01/24,2024,1,AllMarket,20,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
01/01/24,2024,1,AllMarket,108,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
01/01/24,2024,1,AllMarket,108,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
01/01/24,2024,1,Adjustment - Bonus Reward - Tata CliQ & Luxury,-29.28,Regular,Credit,Cashback,Digital Wallet,Tata Neu
01/01/24,2024,1,AmazonPay Wallet - Balance as of 01/01/2024,-26.37,Regular,Wallet Topup,AmazonPay,Digital Wallet,AmazonPay
02/01/24,2024,1,Zomato Lunch,239.39,Regular,Food,Zomato,Digital Wallet,Pluxee/Sodexo
02/01/24,2024,1,Zomato Lunch Refund,-59.84,Regular,Food,Zomato,Digital Wallet,Pluxee/Sodexo
02/01/24,2024,1,Oia with Roshni,2655,Regular,Food,Dine-out,Credit Card,HDFC Diners Black
02/01/24,2024,1,Adjustment - Oia with Roshni,-1330,Regular,Food,Dine-out,UPI,Google Pay
03/01/24,2024,1,Swiggy Lunch,212,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
03/01/24,2024,1,Swiggy Dinner,182,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
03/01/24,2024,1,AllMarket,89,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
03/01/24,2024,1,Instamart,224,Regular,Food,Groceries,Credit Card,HDFC Swiggy
04/01/24,2024,1,Airport Lounge (BLR 080),2,Regular,Travel,Airport Lounge,Credit Card,AMEX Platinum Travel
04/01/24,2024,1,Uber - Cab Fare - Home to BLR Airport,458,Regular,Travel,Cabs,UPI,Google Pay
04/01/24,2024,1,Pune Pub Outing - Paid to Pratik Piyani,440,Regular,Food,Dine-out,UPI,Google Pay
05/01/24,2024,1,Uber - Auto Fare - Wedding Venue to Phoenix Marketcity,181.81,Regular,Travel,Cabs,Credit Card,HDFC TataNeu Infinity
05/01/24,2024,1,Uber - Auto Fare - Phoenix Marketcity to PNQ Airport,63.35,Regular,Travel,Cabs,Credit Card,HDFC TataNeu Infinity
05/01/24,2024,1,Starbucks Pune,279,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
05/01/24,2024,1,Starbucks Pune for Darshan Jhunjhunwala,347,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
05/01/24,2024,1,Airport Lounge (Pune),2,Regular,Travel,Airport Lounge,Credit Card,HDFC Diners Black
06/01/24,2024,1,Swiggy Breakfast,180,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
06/01/24,2024,1,Swiggy Lunch,275,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
06/01/24,2024,1,Swiggy Dinner,265,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
06/01/24,2024,1,AllMarket,99,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
07/01/24,2024,1,Book - Murder Under a Red Moon,265,Regular,Shopping,Books,Credit Card,ICICI AmazonPay
07/01/24,2024,1,Wedding Gift - Rohan Ghotankar,2500,One-Time,Gifting,Wedding Gift,UPI,Google Pay
